İl;İlçe;Okul Adı
ADANA;ALADAĞ;Akören Çok Programlı Anadolu Lisesi
ADANA;ALADAĞ;Akören İlkokulu
ADANA;ALADAĞ;Akören Ortaokulu
ADANA;ALADAĞ;Aladağ Halk Eğitimi Merkezi
ADANA;ALADAĞ;Aladağ İmam Hatip Ortaokulu
ADANA;ALADAĞ;Aladağ Öğretmenevi ve Akşam Sanat Okulu
ADANA;ALADAĞ;Aladağ Sinanpaşa Anadolu İmam Hatip Lisesi
ADANA;ALADAĞ;Atatürk İlkokulu
ADANA;ALADAĞ;Atatürk Ortaokulu
ADANA;ALADAĞ;Boztahta Şehit Serdar Yıldırım İlkokulu
ADANA;ALADAĞ;Boztahta Şehit Serdar Yıldırım Ortaokulu
ADANA;ALADAĞ;Büyüksofulu İmam Hatip Ortaokulu
ADANA;ALADAĞ;Büyüksofulu Şehit Ziya Şahin İlkokulu
ADANA;ALADAĞ;Ceritler Necati Özsırkıntı İlkokulu
ADANA;ALADAĞ;Darılık İlkokulu
ADANA;ALADAĞ;Dölekli İlkokulu
ADANA;ALADAĞ;Dölekli Ortaokulu
ADANA;ALADAĞ;Gerdibi İlkokulu
ADANA;ALADAĞ;Gerdibi Ortaokulu
ADANA;ALADAĞ;Gerdibi Sivişli İlkokulu
ADANA;ALADAĞ;Gökçeköy İlkokulu
ADANA;ALADAĞ;Kabasakal İlkokulu
ADANA;ALADAĞ;Karahan İlkokulu
ADANA;ALADAĞ;Karatepe İlkokulu
ADANA;ALADAĞ;Kıcak Şehit Arif Mamış İlkokulu
ADANA;ALADAĞ;Kıcak Şehit Arif Mamış Ortaokulu
ADANA;ALADAĞ;Kışlak İlkokulu
ADANA;ALADAĞ;Kızıldam İlkokulu
ADANA;ALADAĞ;Kökez Cumhuriyet İlkokulu
ADANA;ALADAĞ;Kökez İlkokulu
ADANA;ALADAĞ;Kökez Ortaokulu
ADANA;ALADAĞ;Köprücük İlkokulu
ADANA;ALADAĞ;Köprücük Mengez İlkokulu
ADANA;ALADAĞ;Küp İlkokulu
ADANA;ALADAĞ;Sanko Aladağ Anadolu Lisesi
ADANA;ALADAĞ;Sinanpaşa İlkokulu
ADANA;ALADAĞ;Şehit Adem Oğuz Yatılı Bölge Ortaokulu
ADANA;ALADAĞ;Tereli İlkokulu
ADANA;ALADAĞ;Yetimli İlkokulu
ADANA;CEYHAN;100. Yıl Sarısakal İlkokulu
ADANA;CEYHAN;23 Nisan İlkokulu
ADANA;CEYHAN;60.Yıl Manas İlkokulu
ADANA;CEYHAN;75.Yıl Cumhuriyet Anaokulu
ADANA;CEYHAN;Ali Fevziye Özçelik İlkokulu
ADANA;CEYHAN;Altı Ocak Ticaret Mesleki ve Teknik Anadolu Lisesi
ADANA;CEYHAN;Anadolu İmam Hatip Lisesi
ADANA;CEYHAN;Arif Nihat Asya Ortaokulu
ADANA;CEYHAN;Arif-Hasan Bilici İmam Hatip Ortaokulu
ADANA;CEYHAN;Atatürk İlkokulu
ADANA;CEYHAN;Ayşe Malaz İlkokulu
ADANA;CEYHAN;Başören İlkokulu
ADANA;CEYHAN;Başören Ortaokulu
ADANA;CEYHAN;Beşocak İlkokulu
ADANA;CEYHAN;Birkent İlkokulu
ADANA;CEYHAN;Birkent Ortaokulu
ADANA;CEYHAN;Borsa İstanbul Ceyhan Anadolu Lisesi
ADANA;CEYHAN;Botaş İlkokulu
ADANA;CEYHAN;Botaş Ortaokulu
ADANA;CEYHAN;Büyükmangıt Atakuş Kardeşler Anaokulu
ADANA;CEYHAN;Büyükmangıt Şehit Cüneyt Muhacir Ortaokulu
ADANA;CEYHAN;Cengiz Topel İlkokulu
ADANA;CEYHAN;Cennet Çetin Anaokulu
ADANA;CEYHAN;Ceyhan Anadolu Lisesi
ADANA;CEYHAN;Ceyhan Anaokulu
ADANA;CEYHAN;Ceyhan Biliciler Turizm Mesleki ve Teknik Anadolu Lisesi
ADANA;CEYHAN;Ceyhan Bilim ve Sanat Merkezi
ADANA;CEYHAN;Ceyhan Devlet Hastanesi Bekir Özer Anaokulu
ADANA;CEYHAN;Ceyhan Halk Eğitimi Merkezi
ADANA;CEYHAN;Ceyhan Kız Anadolu İmam Hatip Lisesi
ADANA;CEYHAN;Ceyhan Mesleki Eğitim Merkezi
ADANA;CEYHAN;Ceyhan Mesleki ve Teknik Anadolu Lisesi
ADANA;CEYHAN;Ceyhan Öğretmenevi ve Akşam Sanat Okulu
ADANA;CEYHAN;Ceyhan Özel Eğitim Uygulama Okulu III. Kademe
ADANA;CEYHAN;Ceyhan Polis Amca Anaokulu
ADANA;CEYHAN;Ceyhan Rehberlik ve Araştırma Merkezi
ADANA;CEYHAN;Ceyhan Şehit Tuncay Ateş İmam Hatip Ortaokulu
ADANA;CEYHAN;Ceyhan Ticaret Borsası Sosyal Bilimler Lisesi
ADANA;CEYHAN;Ceyhan Türkiye Odalar ve Borsalar Birliği Anaokulu
ADANA;CEYHAN;Cumhuriyet İlkokulu
ADANA;CEYHAN;Çakabey Denizcilik Mesleki ve Teknik Anadolu Lisesi
ADANA;CEYHAN;Çakaldere İlkokulu
ADANA;CEYHAN;Çataklı Tatarlı Bakırlı İlkokulu
ADANA;CEYHAN;Çataklı Tatarlı Bakırlı Ortaokulu
ADANA;CEYHAN;Dokuztekne Şehit Adem Çoban İlkokulu
ADANA;CEYHAN;Dokuztekne Şehit Adem Çoban Ortaokulu
ADANA;CEYHAN;Doruk Merkez İlkokulu
ADANA;CEYHAN;Doruk Şehit Necip Un Ortaokulu
ADANA;CEYHAN;Dumlupınar İlkokulu
ADANA;CEYHAN;Eczacı Bahattin-Sevinç Erdinç Fen Lisesi
ADANA;CEYHAN;Fatih Sultan Mehmet İlkokulu
ADANA;CEYHAN;Fevzi Çakmak Ortaokulu
ADANA;CEYHAN;Gazi Ortaokulu
ADANA;CEYHAN;Gaziosmanpaşa İlkokulu
ADANA;CEYHAN;Güler Aral Anaokulu
ADANA;CEYHAN;Gümürdülü Ortaokulu
ADANA;CEYHAN;Gümürdülü Şehit Ali Fuat Haydaroğlu İlkokulu
ADANA;CEYHAN;Gümüşdere İlkokulu
ADANA;CEYHAN;Hafsa Sultan Anaokulu
ADANA;CEYHAN;Halil Çiftçi Anadolu Lisesi
ADANA;CEYHAN;Hamdilli İlkokulu
ADANA;CEYHAN;Hamdilli Ortaokulu
ADANA;CEYHAN;Hamidiye Anaokulu
ADANA;CEYHAN;Heydar Aliyev Mesleki ve Teknik Anadolu Lisesi
ADANA;CEYHAN;İhsan Demirtaş İlkokulu
ADANA;CEYHAN;İlbeyli-Beyteks Mesleki ve Teknik Anadolu Lisesi
ADANA;CEYHAN;İsmail-Ayşe Önük Ortaokulu
ADANA;CEYHAN;Kadir Sevil Aydar Anaokulu
ADANA;CEYHAN;Kasım Garipoğlu Anadolu Lisesi
ADANA;CEYHAN;Kaymakam Gürbüz Karakuş Ortaokulu
ADANA;CEYHAN;Kıvrıklı İlkokulu
ADANA;CEYHAN;Körkuyu İlkokulu
ADANA;CEYHAN;Kösreli İlkokulu
ADANA;CEYHAN;Kösreli Ortaokulu
ADANA;CEYHAN;Kurtkulağı Orhan Ekinci İlkokulu
ADANA;CEYHAN;Kurtkulağı Orhan Ekinci Ortaokulu
ADANA;CEYHAN;Kuzucak İlkokulu
ADANA;CEYHAN;Kuzucak Ortaokulu
ADANA;CEYHAN;Küçükmangıt İlkokulu
ADANA;CEYHAN;Mehmet Akif Ersoy İlkokulu
ADANA;CEYHAN;Mehmet Orhun Yaylacı Anadolu Lisesi
ADANA;CEYHAN;Mehmetçik İlkokulu
ADANA;CEYHAN;Mercimek Anaokulu
ADANA;CEYHAN;Mercimek Tevhide Atçı İlkokulu
ADANA;CEYHAN;Mercimek Tevhide Atçı Ortaokulu
ADANA;CEYHAN;Mithatpaşa Şehit Battal Özaslan İlkokulu
ADANA;CEYHAN;Mustafabeyli İlkokulu
ADANA;CEYHAN;Mustafabeyli Ortaokulu
ADANA;CEYHAN;Mürüvvet-Mahmut Kayhan Anaokulu
ADANA;CEYHAN;Namık Kemal İlkokulu
ADANA;CEYHAN;Necati Akçağlılar İlkokulu
ADANA;CEYHAN;Nurhan Demirtaş Ortaokulu
ADANA;CEYHAN;Pamukeli Ortaokulu
ADANA;CEYHAN;Polis Amca Özel Eğitim Anaokulu
ADANA;CEYHAN;Remzi Oğuz Arık İlkokulu
ADANA;CEYHAN;Sağkaya Çok Programlı Anadolu Lisesi
ADANA;CEYHAN;Sağkaya İlkokulu
ADANA;CEYHAN;Sağkaya Şehit Eren Öztürk Ortaokulu
ADANA;CEYHAN;Sakarya İlkokulu
ADANA;CEYHAN;Sakarya Ortaokulu
ADANA;CEYHAN;Sakine Garipoğlu İlkokulu
ADANA;CEYHAN;Sarıbahçe İlkokulu
ADANA;CEYHAN;Sarısakal İlkokulu
ADANA;CEYHAN;Sarısakal Ortaokulu
ADANA;CEYHAN;Soysallı Şehit Eren Çelik İlkokulu
ADANA;CEYHAN;Şaban Üçgül ve Kardeşleri Mesleki ve Teknik Anadolu Lisesi
ADANA;CEYHAN;Şadiye Mustafa Caf Ortaokulu
ADANA;CEYHAN;Şehit Adnan Sürücü Ortaokulu
ADANA;CEYHAN;Şehit Ertan Sevim Ortaokulu
ADANA;CEYHAN;Şehit Fehmi Koç İlkokulu
ADANA;CEYHAN;Şehit Hüseyin Birimen Ortaokulu
ADANA;CEYHAN;Şehit İsa Çiçek İlkokulu
ADANA;CEYHAN;Şehit Süleyman Çakır Anaokulu
ADANA;CEYHAN;Şehit Zeynep Sağır Anadolu Lisesi
ADANA;CEYHAN;Şerife Topal Anaokulu
ADANA;CEYHAN;Tekfen Vakfı Özel Eğitim Uygulama Merkezi I. Kademe
ADANA;CEYHAN;TEKFEN VAKFI ÖZEL EĞİTİM UYGULAMA OKULU II. KADEME
ADANA;CEYHAN;Toktamış İlkokulu
ADANA;CEYHAN;Toros Tarım Anadolu Lisesi
ADANA;CEYHAN;Toros Tarım İlkokulu
ADANA;CEYHAN;Toros Tarım Ortaokulu
ADANA;CEYHAN;Ülkü Halim Gökçedağ İlkokulu
ADANA;CEYHAN;Yaltır Kardeşler Kız Mesleki ve Teknik Anadolu Lisesi
ADANA;CEYHAN;Yaltır Kardeşler Ortaokulu
ADANA;CEYHAN;Yeşildam İlkokulu
ADANA;CEYHAN;Yeşildam Ortaokulu
ADANA;CEYHAN;YÜKSEL DAL ANAOKULU
ADANA;CEYHAN;Zahit Çetin İlkokulu
ADANA;CEYHAN;Zerrin Ziya Çetin Anaokulu
ADANA;ÇUKUROVA;15 Temmuz Şehitleri Anadolu Lisesi
ADANA;ÇUKUROVA;Abbas-Sıdıka Çalık Anadolu Lisesi
ADANA;ÇUKUROVA;Abdullah Cem Turhan Anaokulu
ADANA;ÇUKUROVA;Adana Anadolu Lisesi
ADANA;ÇUKUROVA;Adana Çukurova Güzel Sanatlar Lisesi
ADANA;ÇUKUROVA;Adana Genç İş İnsanları Derneği Ortaokulu
ADANA;ÇUKUROVA;Adana Güzel Sanatlar Müzik Ortaokulu
ADANA;ÇUKUROVA;Adana Kız Lisesi
ADANA;ÇUKUROVA;Adana Tabipler Odası İlkokulu
ADANA;ÇUKUROVA;Adana Ticaret Borsası Anadolu Lisesi
ADANA;ÇUKUROVA;Adana Ticaret Odası 125. Yıl İlkokulu
ADANA;ÇUKUROVA;Ahmet Kurttepeli Anadolu Lisesi
ADANA;ÇUKUROVA;Ahmet Sabancı Anaokulu
ADANA;ÇUKUROVA;Akşemsettin Ortaokulu
ADANA;ÇUKUROVA;Alparslan İlkokulu
ADANA;ÇUKUROVA;Alparslan Türkeş Ortaokulu
ADANA;ÇUKUROVA;Attila İlkokulu
ADANA;ÇUKUROVA;Ayşe Atıl İlkokulu
ADANA;ÇUKUROVA;Barış Manço Anaokulu
ADANA;ÇUKUROVA;Buhara Ortaokulu
ADANA;ÇUKUROVA;Çağrıbey Mesleki ve Teknik Anadolu Lisesi
ADANA;ÇUKUROVA;ÇEAS Anadolu Lisesi
ADANA;ÇUKUROVA;Çukurova Anaokulu
ADANA;ÇUKUROVA;Çukurova Bilim ve Sanat Merkezi
ADANA;ÇUKUROVA;Çukurova Borsa İstanbul İlkokulu
ADANA;ÇUKUROVA;Çukurova Elektrik Mesleki ve Teknik Anadolu Lisesi
ADANA;ÇUKUROVA;Çukurova Halk Eğitimi Merkezi
ADANA;ÇUKUROVA;Çukurova İlkokulu
ADANA;ÇUKUROVA;Çukurova İmam Hatip Ortaokulu
ADANA;ÇUKUROVA;Çukurova Mesleki Eğitim Merkezi
ADANA;ÇUKUROVA;Çukurova Özel Eğitim Anaokulu
ADANA;ÇUKUROVA;Çukurova Rehberlik ve Araştırma Merkezi
ADANA;ÇUKUROVA;Çukurova Şehit Aytekin Kuru Halk Eğitimi Merkezi
ADANA;ÇUKUROVA;Çukurova Toroslar Anadolu Lisesi
ADANA;ÇUKUROVA;Dörtler Topalak İlkokulu
ADANA;ÇUKUROVA;DSİ Baraj Ortaokulu
ADANA;ÇUKUROVA;Edebali İlkokulu
ADANA;ÇUKUROVA;Emine Nabi Menemencioğlu Anadolu Lisesi
ADANA;ÇUKUROVA;Emine Nabi Menemencioğlu Anaokulu
ADANA;ÇUKUROVA;Emine Nabi Menemencioğlu İlkokulu
ADANA;ÇUKUROVA;Emine Sapmaz İlkokulu
ADANA;ÇUKUROVA;Ertuğrul Gazi İlkokulu
ADANA;ÇUKUROVA;Fazilet Kibritoğlu Özel Eğitim Uygulama Okulu I. Kademe
ADANA;ÇUKUROVA;Fazilet Kibritoğlu Özel Eğitim Uygulama Okulu II. Kademe
ADANA;ÇUKUROVA;Gazi Mustafa Kemal Anadolu Lisesi
ADANA;ÇUKUROVA;Gönül-Ferhat Baykara İlkokulu
ADANA;ÇUKUROVA;Gülbeyaz Güzel Anaokulu
ADANA;ÇUKUROVA;Hacı Ahmet Atıl Anadolu Lisesi
ADANA;ÇUKUROVA;Hacı Hatice Turgut Anadolu Lisesi
ADANA;ÇUKUROVA;Hacı Nazım Turgut İlkokulu
ADANA;ÇUKUROVA;Harezmi Anaokulu
ADANA;ÇUKUROVA;Hasan Adalı Anadolu Lisesi
ADANA;ÇUKUROVA;Hoca Ahmet Yesevi İlkokulu
ADANA;ÇUKUROVA;Hümeyra Ökten Kız Anadolu İmam Hatip Lisesi
ADANA;ÇUKUROVA;İbn-i Sina İlkokulu
ADANA;ÇUKUROVA;İbn-i Sina Ortaokulu
ADANA;ÇUKUROVA;İbrahim Atalı Ticaret Mesleki ve Teknik Anadolu Lisesi
ADANA;ÇUKUROVA;İsmail Kulak Anadolu Lisesi
ADANA;ÇUKUROVA;İsmail Safa Özler Anadolu Lisesi
ADANA;ÇUKUROVA;Kabasakal Şehit Selçuk Beki İlkokulu
ADANA;ÇUKUROVA;Kabasakal Şehit Selçuk Beki Ortaokulu
ADANA;ÇUKUROVA;Kenan Çetinel İlkokulu
ADANA;ÇUKUROVA;Kenan Çetinel Ortaokulu
ADANA;ÇUKUROVA;Kurttepe Borsa İstanbul İlkokulu
ADANA;ÇUKUROVA;Kurttepe Ortaokulu
ADANA;ÇUKUROVA;Kurttepe Şehit Ali Öztaş Mesleki ve Teknik Anadolu Lisesi
ADANA;ÇUKUROVA;Lütfiye Bağcivan Anaokulu
ADANA;ÇUKUROVA;Mehmet Özöncel Anadolu Lisesi
ADANA;ÇUKUROVA;Mehmet Tal İmam Hatip Ortaokulu
ADANA;ÇUKUROVA;Mehmet-Bedia Kipri İlkokulu
ADANA;ÇUKUROVA;Meryem-Mehmet Kayhan Ortaokulu
ADANA;ÇUKUROVA;Mithat Topal Anadolu Lisesi
ADANA;ÇUKUROVA;Necip Fazıl Kısakürek İlkokulu
ADANA;ÇUKUROVA;Nezihe Yalvaç Turizm Mesleki ve Teknik Anadolu Lisesi
ADANA;ÇUKUROVA;Nigahi Soykan İlkokulu
ADANA;ÇUKUROVA;Niyazi Ekerbiçer Özel Eğitim Meslek Okulu
ADANA;ÇUKUROVA;Oğuz Kağan Köksal Görme Engelliler İlkokulu
ADANA;ÇUKUROVA;Oğuz Kağan Köksal Görme Engelliler Ortaokulu
ADANA;ÇUKUROVA;Oğuz Kağan Köksal Özel Eğitim Anaokulu
ADANA;ÇUKUROVA;Oğuzhan Ortaokulu
ADANA;ÇUKUROVA;Öğretmen Hıdır Ünverdi Ortaokulu
ADANA;ÇUKUROVA;Öğretmen Zeynep Erdoğdu Ortaokulu
ADANA;ÇUKUROVA;Piri Reis Anadolu Lisesi
ADANA;ÇUKUROVA;Ramazan Atıl Anadolu Lisesi
ADANA;ÇUKUROVA;Recep Birsin Özen Ortaokulu
ADANA;ÇUKUROVA;Sabancı İlkokulu
ADANA;ÇUKUROVA;Salbaş Anadolu Lisesi
ADANA;ÇUKUROVA;Salbaş Şehit Yasin Eroğlu İlkokulu
ADANA;ÇUKUROVA;Salbaş Şehit Zeki Kütük Ortaokulu
ADANA;ÇUKUROVA;Selahaddin Eyyubi İmam Hatip Ortaokulu
ADANA;ÇUKUROVA;Selcen Hatun Anaokulu
ADANA;ÇUKUROVA;Semiha Yücel Akdeğirmen İlkokulu
ADANA;ÇUKUROVA;Semiha Yücel Akdeğirmen Ortaokulu
ADANA;ÇUKUROVA;Sıtkı Kulak Ortaokulu
ADANA;ÇUKUROVA;Sungurbey Anadolu Lisesi
ADANA;ÇUKUROVA;Şambayadı Şehit İsmet Fatih Alagöz İlkokulu
ADANA;ÇUKUROVA;Şambayadı Şehit İsmet Fatih Alagöz Ortaokulu
ADANA;ÇUKUROVA;Şehit Adem Algın Anaokulu
ADANA;ÇUKUROVA;Şehit Cafer Kaşan Anadolu Lisesi
ADANA;ÇUKUROVA;Şehit Ebubekir Durmuş Ortaokulu
ADANA;ÇUKUROVA;Şehit Enver Buğur Ortaokulu
ADANA;ÇUKUROVA;Şehit Kadir Demiryürek Özel Eğitim Uygulama Okulu III. Kademe
ADANA;ÇUKUROVA;Şehit Muhammet Ali Demir Ortaokulu
ADANA;ÇUKUROVA;Şehit Murat Erdem Anadolu Lisesi
ADANA;ÇUKUROVA;Şehit Mustafa Görenoğlu Anadolu Lisesi
ADANA;ÇUKUROVA;Şehit Serhat Sığnak Anaokulu
ADANA;ÇUKUROVA;Şehit Temel Cingöz Anadolu Lisesi
ADANA;ÇUKUROVA;Şehit Tolga Özdinç İlkokulu
ADANA;ÇUKUROVA;Şehit Yalçın Palıt Anaokulu
ADANA;ÇUKUROVA;Şehit Yılmaz Bozkurt Ortaokulu
ADANA;ÇUKUROVA;Şehit Zeki Akgünseven Anaokulu
ADANA;ÇUKUROVA;Şoför ve Otomobilciler Odası Anaokulu
ADANA;ÇUKUROVA;TOKİ Şehit Bahattin Kalaycı İlkokulu
ADANA;ÇUKUROVA;TOKİ Şehit Bahattin Kalaycı Ortaokulu
ADANA;ÇUKUROVA;Vakıfbank Ortaokulu
ADANA;ÇUKUROVA;Vehbi Güzel Anadolu Lisesi
ADANA;ÇUKUROVA;Vehbi Güzel Kız Mesleki ve Teknik Anadolu Lisesi
ADANA;ÇUKUROVA;Yaşar Rukiye Kısacık Anadolu İmam Hatip Lisesi
ADANA;ÇUKUROVA;Yunus Emre İlkokulu
ADANA;FEKE;Ali Kuşçu İlkokulu
ADANA;FEKE;Bahçecik İlkokulu
ADANA;FEKE;Çandırlar Bekirhacılı İlkokulu
ADANA;FEKE;Çandırlar İlkokulu
ADANA;FEKE;Feke Halk Eğitimi Merkezi
ADANA;FEKE;Feke İmam Hatip Ortaokulu
ADANA;FEKE;FEKE Öğretmenevi ve Akşam Sanat Okulu
ADANA;FEKE;Feke Şehit Yeter Şener Anadolu İmam Hatip Lisesi
ADANA;FEKE;Gaffaruşağı İlkokulu
ADANA;FEKE;Gedikli İlkokulu
ADANA;FEKE;Gürümze İlkokulu
ADANA;FEKE;Hıdıruşağı İlkokulu
ADANA;FEKE;Kaleyüzü İlkokulu
ADANA;FEKE;Karacaoğlan İlkokulu
ADANA;FEKE;Karacaoğlan Ortaokulu
ADANA;FEKE;Kırıkuşağı İlkokulu
ADANA;FEKE;Kovukçınar İlkokulu
ADANA;FEKE;Lütfiye Ayşe Baytok Yatılı Bölge Ortaokulu
ADANA;FEKE;Mansurlu İnderesi İlkokulu
ADANA;FEKE;Musalar İlkokulu
ADANA;FEKE;Ormancık İlkokulu
ADANA;FEKE;Ormancık Şehit Eren Kızıldağ Ortaokulu
ADANA;FEKE;Oruçlu İlkokulu
ADANA;FEKE;Oruçlu Ortaokulu
ADANA;FEKE;Paşalı Şehit Mustafa Akgül Ortaokulu
ADANA;FEKE;Süphandere İlkokulu
ADANA;FEKE;Süphandere Ortaokulu
ADANA;FEKE;Şahmuratlı İlkokulu
ADANA;FEKE;Şehit Koray Özel Anadolu Lisesi
ADANA;FEKE;Tokmanaklı İlkokulu
ADANA;İMAMOĞLU;23 Nisan Ortaokulu
ADANA;İMAMOĞLU;Ağzıkaraca İlkokulu
ADANA;İMAMOĞLU;Alaybeyi Abdiluşağı İlkokulu
ADANA;İMAMOĞLU;Alaybeyi İlkokulu
ADANA;İMAMOĞLU;Aliler İlkokulu
ADANA;İMAMOĞLU;Atatürk İlkokulu
ADANA;İMAMOĞLU;Ayvalı İlkokulu
ADANA;İMAMOĞLU;Camili İlkokulu
ADANA;İMAMOĞLU;Camili Şehit Niyazi Karakoca Ortaokulu
ADANA;İMAMOĞLU;Cumhuriyet İlkokulu
ADANA;İMAMOĞLU;Cumhuriyet Ortaokulu
ADANA;İMAMOĞLU;Çörten İlkokulu
ADANA;İMAMOĞLU;Fatih Yatılı Bölge Ortaokulu
ADANA;İMAMOĞLU;Hürriyet İlkokulu
ADANA;İMAMOĞLU;İmamoğlu Anadolu İmam Hatip Lisesi
ADANA;İMAMOĞLU;İmamoğlu Bilim ve Sanat Merkezi
ADANA;İMAMOĞLU;İmamoğlu Halk Eğitimi Merkezi
ADANA;İMAMOĞLU;İmamoğlu Öğretmenevi ve Akşam Sanat Okulu Müdürlüğü
ADANA;İMAMOĞLU;İstiklal Ortaokulu
ADANA;İMAMOĞLU;Koyunevi İlkokulu
ADANA;İMAMOĞLU;Koyunevi Ortaokulu
ADANA;İMAMOĞLU;Lokman Hekim Kız Mesleki ve Teknik Anadolu Lisesi
ADANA;İMAMOĞLU;Malıhıdırlı İlkokulu
ADANA;İMAMOĞLU;Malıhıdırlı Ortaokulu
ADANA;İMAMOĞLU;Merkez Menteş İlkokulu
ADANA;İMAMOĞLU;Pekmezci İlkokulu
ADANA;İMAMOĞLU;Sayca İlkokulu
ADANA;İMAMOĞLU;Saygeçit İlkokulu
ADANA;İMAMOĞLU;Sevgi Anaokulu
ADANA;İMAMOĞLU;Sevinçli Şehit Mehmet Erdoğan İlkokulu
ADANA;İMAMOĞLU;Sevinçli Şehit Mehmet Erdoğan Ortaokulu
ADANA;İMAMOĞLU;Şehit Halis Koca Mesleki ve Teknik Anadolu Lisesi
ADANA;İMAMOĞLU;Şehit Mehmet Atıcı Anadolu Lisesi
ADANA;İMAMOĞLU;Şehit Osman Tatar İlkokulu
ADANA;İMAMOĞLU;Şehit Selami Akça imam Hatip Ortaokulu
ADANA;İMAMOĞLU;Şehit Veli Ataşcı İlkokulu
ADANA;İMAMOĞLU;Üçtepe İlkokulu
ADANA;İMAMOĞLU;Üçtepe Menteş İlkokulu
ADANA;İMAMOĞLU;Üçtepe Ortaeğriçam İlkokulu
ADANA;İMAMOĞLU;Üçtepe Ortaokulu
ADANA;İMAMOĞLU;Yavuz Sultan Selim Ortaokulu
ADANA;İMAMOĞLU;Yunus Emre Anaokulu
ADANA;İMAMOĞLU;Zübeyde Hanım Anaokulu
ADANA;KARAİSALI;1 Nisan Yatılı Bölge Ortaokulu
ADANA;KARAİSALI;Atatürk Ortaokulu
ADANA;KARAİSALI;Bekirli İlkokulu
ADANA;KARAİSALI;Beydemir İlkokulu
ADANA;KARAİSALI;Beydemir Ortaokulu
ADANA;KARAİSALI;Cumhuriyet İlkokulu
ADANA;KARAİSALI;Çakallı İlkokulu
ADANA;KARAİSALI;Çatalan İlkokulu
ADANA;KARAİSALI;Çatalan Ortaokulu
ADANA;KARAİSALI;Çukur İlkokulu
ADANA;KARAİSALI;Çukur Ortaokulu
ADANA;KARAİSALI;Eğlence Şehitler İlkokulu
ADANA;KARAİSALI;Eğlence Şehitler Ortaokulu
ADANA;KARAİSALI;Etekli Erkeğin Şehit Fatih Yılmaz İlkokulu
ADANA;KARAİSALI;Etekli Erkeğin Şehit Fatih Yılmaz Ortaokulu
ADANA;KARAİSALI;Hacılı Şehit Ali Gümüştop İlkokulu
ADANA;KARAİSALI;Karaçobanoğulları İlkokulu
ADANA;KARAİSALI;Karaisalı Anadolu Lisesi
ADANA;KARAİSALI;Karaisalı Anaokulu
ADANA;KARAİSALI;Karaisalı Halk Eğitimi Merkezi
ADANA;KARAİSALI;Karaisalı Mesleki ve Teknik Anadolu Lisesi
ADANA;KARAİSALI;Kırıklı İlkokulu
ADANA;KARAİSALI;Ömer Nasuhi Bilmen Anadolu İmam Hatip Lisesi
ADANA;KARAİSALI;Şehit Mehmet Çalışkan İlkokulu
ADANA;KARATAŞ;Adalı İlkokulu
ADANA;KARATAŞ;Ataköy İlkokulu
ADANA;KARATAŞ;Atatürk İlkokulu
ADANA;KARATAŞ;Bahçe İlkokulu
ADANA;KARATAŞ;Bahçe Ortaokulu
ADANA;KARATAŞ;Bebeli İlkokulu
ADANA;KARATAŞ;Cumhuriyet İlkokulu
ADANA;KARATAŞ;Çakırören İlkokulu
ADANA;KARATAŞ;Çimeli Benli İlkokulu
ADANA;KARATAŞ;Damlapınar İlkokulu
ADANA;KARATAŞ;Hacı Şerafettin Işık Anadolu Lisesi
ADANA;KARATAŞ;Hasırağcı İlkokulu
ADANA;KARATAŞ;Kapı İlkokulu
ADANA;KARATAŞ;Karagöçer İlkokulu
ADANA;KARATAŞ;Karataş Anaokulu
ADANA;KARATAŞ;Karataş Bilim ve Sanat Merkezi
ADANA;KARATAŞ;Karataş Borsa İstanbul Çok Programlı Anadolu Lisesi
ADANA;KARATAŞ;Karataş Halk Eğitimi Merkezi
ADANA;KARATAŞ;KARATAŞ İLKOKULU
ADANA;KARATAŞ;Kesik İlkokulu
ADANA;KARATAŞ;Kırmızıdağ İlkokulu
ADANA;KARATAŞ;Mehmet Akif Ortaokulu
ADANA;KARATAŞ;Oymaklı İlkokulu
ADANA;KARATAŞ;Sirkenli İlkokulu
ADANA;KARATAŞ;Sirkenli Ortaokulu
ADANA;KARATAŞ;Tabaklar İlkokulu
ADANA;KARATAŞ;Tevfik Ayser Canbolat Anadolu İmam Hatip Lisesi
ADANA;KARATAŞ;Tuzkuyusu İlkokulu
ADANA;KARATAŞ;Tuzla Çok Programlı Anadolu Lisesi
ADANA;KARATAŞ;Tuzla İlkokulu
ADANA;KARATAŞ;Tuzla Ortaokulu
ADANA;KARATAŞ;Yemişli İlkokulu
ADANA;KARATAŞ;Yemişli Ortaokulu
ADANA;KOZAN;100. Yıl Şehit Serkan Ağca Anaokulu
ADANA;KOZAN;100. Yıl Şehit Serkan Ağca İlkokulu
ADANA;KOZAN;2 Haziran Ortaokulu
ADANA;KOZAN;23 Nisan Özel Eğitim Uygulama Okulu I. Kademe
ADANA;KOZAN;23 Nisan Özel Eğitim Uygulama Okulu II. Kademe
ADANA;KOZAN;50. Yıl Şehit İbrahim Yüce Anadolu Lisesi
ADANA;KOZAN;60. Yıl Şehit Mustafa Akar Ortaokulu
ADANA;KOZAN;Acarmantaş İlkokulu
ADANA;KOZAN;Acarmantaş Ortaokulu
ADANA;KOZAN;Ağlıboğaz Şehit Murat Özkozanoğlu İlkokulu
